user_id,item_list
2,29789 29700 57357 3323 34419 4299 4563 5166 63757 27773
52,31735 29560 72436 71134 55359 52350 76263 68870 15189 79556
102,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
155,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
202,5166 5348 68870 3139 4299 4563 2780 27267 22410 33948
203,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
205,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
252,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
352,3323 12705 27267 4299 34419 5166 5348 4563 63757 33948
402,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
452,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
453,29789 29700 57357 52439 4571 6212 3246 87831 78085 60426
502,4563 5166 68870 67044 3139 4299 70872 63757 12705 27267
552,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
553,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
554,35624 47145 3324 29431 3137 3138 3323 34524 72010 44187
555,29789 29700 13428 57357 55359 52350 31735 72436 15189 70872
602,5166 5348 68870 3139 4299 4563 2780 27267 22410 33948
